Timestamp, Decibels, Group
"1429693669430","-8.446760441441542","Control"
"1429693670466","-7.744322865605291","Control"
"1429693671500","-10.830040858015977","Control"
"1429693672545","-9.257616312101044","Control"
"1429693673591","-18.23071540766537","Control"
"1429693674636","2.318370876086318","Control"
"1429693675707","0.5545405088319817","Control"
"1429693676753","-10.245713435658267","Control"
"1429693677801","-9.977799989636681","Control"
"1429693678846","-13.86752875651113","Control"
"1429693679891","-10.5981088552575","Control"
"1429693680933","-12.28919849566654","Control"
"1429693681983","-12.892246840268522","Control"
"1429693683066","-11.301528501495849","Control"
"1429693684113","-10.468304850934299","Control"
"1429693685171","-5.117039015910794","Control"
"1429693686216","-14.076450142608618","Control"
"1429693687268","-15.621124820541016","Control"
"1429693688315","-11.913463853331233","Control"
"1429693689363","-11.775090490968502","Control"
"1429693690414","-3.816290317527751","Control"
"1429693691462","-4.871222508811359","Control"
"1429693692510","-9.639475150281491","Control"
"1429693693568","-10.500574447077934","Control"
"1429693694615","-5.399915238480247","Control"
"1429693695671","-3.038499517439337","Control"
"1429693696712","-7.846928843231506","Control"
"1429693697761","-5.280928588216225","Control"
"1429693698811","-7.000329127097096","Control"
"1429693699851","-6.402025009998441","Control"
"1429693700894","-1.782770695963939","Control"
"1429693701947","-7.167580390621138","Control"
"1429693703021","-14.125384861550366","Control"
"1429693704070","-4.251315320944996","Control"
"1429693705133","-6.7658491556584766","Control"
"1429693706181","-4.9220999772480445","Control"
"1429693707231","-5.198597264319581","Control"
"1429693708267","-5.310522789377181","Control"
"1429693709310","-5.417904660798997","Control"
"1429693710386","-7.489178256450294","Control"
"1429693711427","-8.540847807526895","Control"
"1429693712471","-5.975678329985005","Control"
"1429693713526","-8.421276150383507","Control"
"1429693714574","-4.956184610802513","Control"
"1429693715630","-8.412797975344283","Control"
"1429693716677","-10.446858198956626","Control"
"1429693717581","-7.021962736382852","Control"
"1429693718620","-14.290520817189256","Control"
"1429693719661","-12.369008150322635","Control"
"1429693720709","-7.241315040869161","Control"
"1429693721762","-4.6321717381102525","Control"
"1429693722833","-0.175478486150103","Control"
"1429693723881","-0.38478715971340227","Control"
"1429693724927","-4.9220999772480445","Control"
"1429693725967","-6.065755029805438","Control"
"1429693727017","-7.712994104362394","Control"
"1429693728060","-6.696026515697035","Control"
"1429693729109","-1.587486174467102","Control"
"1429693730146","-10.99958214776829","Control"
"1429693731181","3.60719087696709","Control"
"1429693732235","2.423655675933462","Control"
"1429693733286","-1.340008190865131","Control"
"1429693734335","-7.823142731685523","Control"
"1429693735386","-7.902684401453854","Control"
"1429693736429","4.292952908645036","Control"
"1429693737469","0.5726298377680816","Control"
"1429693738517","-3.4785039459834706","Control"
"1429693739560","-5.930987876770544","Control"
"1429693740641","-6.248760226664213","Control"
"1429693741687","-5.82340171160712","Control"
"1429693742740","-0.2678824388850064","Control"
"1429693743782","-3.9622750923577414","Control"
"1429693744856","-5.962886148529861","Control"
"1429693745902","1.761408615094311","Control"
"1429693746957","-3.871375417701295","Control"
"1429693748008","2.6352239235811403","Control"
"1429693749062","-0.20507268731105946","Control"
"1429693750104","-2.0149419372909794","Control"
"1429693751141","0.9382813552123459","Control"
"1429693752184","1.1041677271873818","Control"
"1429693753229","-0.4151044318123884","Control"
"1429693754276","-5.835989959662751","Control"
"1429693755322","-2.0841850349911173","Control"
"1429693756367","-6.001319351227288","Control"
"1429693757426","-4.043881232397727","Control"
"1429693758476","3.6199236761757403","Control"
"1429693759522","1.3554646075679075","Control"
"1429693760591","-5.405907573756254","Control"
"1429693761640","2.411478624116998","Control"
"1429693762682","-12.963501461674593","Control"
"1429693763726","3.2428765034555584","Control"
"1429693764777","-0.6476539500171221","Control"
"1429693765827","3.1962437230560807","Control"
"1429693766883","-0.8830392769051343","Control"
"1429693767924","-0.4590837138111521","Control"
"1429693768976","-0.897295972166683","Control"
"1429693770023","1.169082882849266","Control"
"1429693771080","-1.6456119075879416","Control"
"1429693772122","2.825510657676518","Control"
